,cycle,sexe,Date,Value
287,Elémentaire,Féminin,1970-01-01 00:00:00.000002005,80.8
288,Elémentaire,Féminin,1970-01-01 00:00:00.000002006,82.2
289,Elémentaire,Féminin,1970-01-01 00:00:00.000002007,88.5
290,Elémentaire,Féminin,1970-01-01 00:00:00.000002008,92.3
291,Elémentaire,Féminin,1970-01-01 00:00:00.000002009,95.8
292,Elémentaire,Féminin,1970-01-01 00:00:00.000002010,100.0
293,Elémentaire,Féminin,1970-01-01 00:00:00.000002011,98.6
294,Elémentaire,Féminin,1970-01-01 00:00:00.000002012,99.5
295,Elémentaire,Féminin,1970-01-01 00:00:00.000002013,98.4
296,Elémentaire,Féminin,1970-01-01 00:00:00.000002014,90.3
297,Elémentaire,Féminin,1970-01-01 00:00:00.000002015,89.3
298,Elémentaire,Féminin,1970-01-01 00:00:00.000002016,91.0
299,Elémentaire,Féminin,1970-01-01 00:00:00.000002017,92.2
300,Prescolaire,Total,1970-01-01 00:00:00.000002007,8.0
301,Prescolaire,Total,1970-01-01 00:00:00.000002008,8.8
302,Prescolaire,Total,1970-01-01 00:00:00.000002009,9.1
303,Prescolaire,Total,1970-01-01 00:00:00.000002010,9.9
304,Prescolaire,Total,1970-01-01 00:00:00.000002011,10.7
305,Prescolaire,Total,1970-01-01 00:00:00.000002012,11.3
306,Prescolaire,Total,1970-01-01 00:00:00.000002013,12.1
307,Prescolaire,Total,1970-01-01 00:00:00.000002014,15.9
308,Prescolaire,Total,1970-01-01 00:00:00.000002015,16.7
309,Prescolaire,Total,1970-01-01 00:00:00.000002016,17.2
310,Prescolaire,Total,1970-01-01 00:00:00.000002017,17.4
311,Prescolaire,Total,1970-01-01 00:00:00.000002018,17.8
312,Prescolaire,Masculin,1970-01-01 00:00:00.000002007,7.4
313,Prescolaire,Masculin,1970-01-01 00:00:00.000002008,8.1
314,Prescolaire,Masculin,1970-01-01 00:00:00.000002009,8.5
315,Prescolaire,Masculin,1970-01-01 00:00:00.000002010,9.4
316,Prescolaire,Masculin,1970-01-01 00:00:00.000002011,10.0
317,Prescolaire,Masculin,1970-01-01 00:00:00.000002012,10.7
318,Prescolaire,Masculin,1970-01-01 00:00:00.000002013,11.4
319,Prescolaire,Masculin,1970-01-01 00:00:00.000002014,14.7
320,Prescolaire,Masculin,1970-01-01 00:00:00.000002015,15.8
321,Prescolaire,Masculin,1970-01-01 00:00:00.000002016,16.1
322,Prescolaire,Masculin,1970-01-01 00:00:00.000002017,16.2
323,Prescolaire,Masculin,1970-01-01 00:00:00.000002018,16.7
324,Prescolaire,Féminin,1970-01-01 00:00:00.000002007,8.6
325,Prescolaire,Féminin,1970-01-01 00:00:00.000002008,9.4
326,Prescolaire,Féminin,1970-01-01 00:00:00.000002009,9.8
327,Prescolaire,Féminin,1970-01-01 00:00:00.000002010,10.5
328,Prescolaire,Féminin,1970-01-01 00:00:00.000002011,11.4
329,Prescolaire,Féminin,1970-01-01 00:00:00.000002012,12.0
330,Prescolaire,Féminin,1970-01-01 00:00:00.000002013,12.7
331,Prescolaire,Féminin,1970-01-01 00:00:00.000002014,17.1
332,Prescolaire,Féminin,1970-01-01 00:00:00.000002015,17.5
333,Prescolaire,Féminin,1970-01-01 00:00:00.000002016,18.4
334,Prescolaire,Féminin,1970-01-01 00:00:00.000002017,18.7
335,Prescolaire,Féminin,1970-01-01 00:00:00.000002018,19.0
